"","public.college","ZIPCODE","COLLEGE"
"1","Ewing Township",NA,NA
"2","Union ",NA,NA
"3","Montclair","07042","Montclair State University"
"4","Montclair","07042","Montclair State University"
"5","Montclair","07043","Montclair State University"
"6","Montclair","07044","Montclair State University"
"7","Jersey City","07097","New Jersey City University"
"8","Jersey City","07300","New Jersey City University"
"9","Jersey City","07302","New Jersey City University"
"10","Jersey City","07303","New Jersey City University"
"11","Jersey City","07304","New Jersey City University"
"12","Jersey City","07305","New Jersey City University"
"13","Jersey City","07306","New Jersey City University"
"14","Jersey City","07307","New Jersey City University"
"15","Jersey City","07308","New Jersey City University"
"16","Jersey City","07309","New Jersey City University"
"17","Jersey City","07310","New Jersey City University"
"18","Jersey City","07311","New Jersey City University"
"19","Jersey City","07399","New Jersey City University"
"20","Newark","07100","New Jersey Institute of Technology, Rutgers University-Newark"
"21","Newark","07101","New Jersey Institute of Technology, Rutgers University-Newark"
"22","Newark","07102","New Jersey Institute of Technology, Rutgers University-Newark"
"23","Newark","07102","New Jersey Institute of Technology, Rutgers University-Newark"
"24","Newark","07103","New Jersey Institute of Technology, Rutgers University-Newark"
"25","Newark","07104","New Jersey Institute of Technology, Rutgers University-Newark"
"26","Newark","07105","New Jersey Institute of Technology, Rutgers University-Newark"
"27","Newark","07106","New Jersey Institute of Technology, Rutgers University-Newark"
"28","Newark","07107","New Jersey Institute of Technology, Rutgers University-Newark"
"29","Newark","07108","New Jersey Institute of Technology, Rutgers University-Newark"
"30","Newark","07109","New Jersey Institute of Technology, Rutgers University-Newark"
"31","Newark","07109","New Jersey Institute of Technology, Rutgers University-Newark"
"32","Newark","07110","New Jersey Institute of Technology, Rutgers University-Newark"
"33","Newark","07111","New Jersey Institute of Technology, Rutgers University-Newark"
"34","Newark","07112","New Jersey Institute of Technology, Rutgers University-Newark"
"35","Newark","07114","New Jersey Institute of Technology, Rutgers University-Newark"
"36","Newark","07175","New Jersey Institute of Technology, Rutgers University-Newark"
"37","Newark","07183","New Jersey Institute of Technology, Rutgers University-Newark"
"38","Newark","07184","New Jersey Institute of Technology, Rutgers University-Newark"
"39","Newark","07185","New Jersey Institute of Technology, Rutgers University-Newark"
"40","Newark","07187","New Jersey Institute of Technology, Rutgers University-Newark"
"41","Newark","07188","New Jersey Institute of Technology, Rutgers University-Newark"
"42","Newark","07189","New Jersey Institute of Technology, Rutgers University-Newark"
"43","Newark","07190","New Jersey Institute of Technology, Rutgers University-Newark"
"44","Newark","07191","New Jersey Institute of Technology, Rutgers University-Newark"
"45","Newark","07192","New Jersey Institute of Technology, Rutgers University-Newark"
"46","Newark","07193","New Jersey Institute of Technology, Rutgers University-Newark"
"47","Newark","07194","New Jersey Institute of Technology, Rutgers University-Newark"
"48","Newark","07195","New Jersey Institute of Technology, Rutgers University-Newark"
"49","Newark","07197","New Jersey Institute of Technology, Rutgers University-Newark"
"50","Newark","07198","New Jersey Institute of Technology, Rutgers University-Newark"
"51","Newark","07199","New Jersey Institute of Technology, Rutgers University-Newark"
"52","Mahwah","07430","Ramapo College"
"53","Mahwah","07495","Ramapo College"
"54","Mahwah","07498","Ramapo College"
"55","Glassboro","08028","Rowan University"
"56","Camden","08100","Rutgers University-Camden, Rowan University"
"57","Camden","08101","Rutgers University-Camden, Rowan University"
"58","Camden","08102","Rutgers University-Camden, Rowan University"
"59","Camden","08103","Rutgers University-Camden, Rowan University"
"60","Camden","08104","Rutgers University-Camden, Rowan University"
"61","Camden","08105","Rutgers University-Camden, Rowan University"
"62","Camden","08106","Rutgers University-Camden, Rowan University"
"63","Camden","08107","Rutgers University-Camden, Rowan University"
"64","Camden","08108","Rutgers University-Camden, Rowan University"
"65","Camden","08109","Rutgers University-Camden, Rowan University"
"66","Camden","08110","Rutgers University-Camden, Rowan University"
"67","Camden","08110","Rutgers University-Camden, Rowan University"
"68","Stratford","08084","Rowan University"
"69","New Brunswick","08899","Rutgers University-New Brunswick"
"70","New Brunswick","08901","Rutgers University-New Brunswick"
"71","New Brunswick","08902","Rutgers University-New Brunswick"
"72","New Brunswick","08902","Rutgers University-New Brunswick"
"73","New Brunswick","08903","Rutgers University-New Brunswick"
"74","New Brunswick","08904","Rutgers University-New Brunswick"
"75","New Brunswick","08905","Rutgers University-New Brunswick"
"76","New Brunswick","08906","Rutgers University-New Brunswick"
"77","New Brunswick","08922","Rutgers University-New Brunswick"
"78","New Brunswick","08933","Rutgers University-New Brunswick"
"79","New Brunswick","08988","Rutgers University-New Brunswick"
"80","New Brunswick","08989","Rutgers University-New Brunswick"
"81","Piscataway","08854","Rutgers University-New Brunswick"
"82","Piscataway","08855","Rutgers University-New Brunswick"
"83","Galloway","08205","Stockton University"
"84","Trenton","08600","Thomas Edison State University"
"85","Trenton","08601","Thomas Edison State University"
"86","Trenton","08602","Thomas Edison State University"
"87","Trenton","08603","Thomas Edison State University"
"88","Trenton","08604","Thomas Edison State University"
"89","Trenton","08605","Thomas Edison State University"
"90","Trenton","08606","Thomas Edison State University"
"91","Trenton","08607","Thomas Edison State University"
"92","Trenton","08608","Thomas Edison State University"
"93","Trenton","08609","Thomas Edison State University"
"94","Trenton","08610","Thomas Edison State University"
"95","Trenton","08611","Thomas Edison State University"
"96","Trenton","08618","Thomas Edison State University"
